"taxon_level","genotype","prevalence","is_core","taxon_name"
"Class","B37/H95",0.719,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B37/MO17",0.645,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B37/OH43",0.61,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B73/MO17",0.6,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B73/PHM49",0.583,FALSE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B73/PHN82",0.909,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","CG119/CG108",0.724,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","CG44/CGR01",0.455,FALSE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","F42/H95",0.6,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","F42/MO17",0.417,FALSE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","F42/OH43",0.732,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","LH74/PHN82",0.706,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","PHG39/PHN82",0.667,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","PHW52/PHM49",0.824,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","PHW52/PHN82",0.364,FALSE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","2369/LH123HT",0.913,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B14A/H95",0.882,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B14A/MO17",0.8,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B14A/OH43",0.85,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B37/H95",0.947,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B37/MO17",0.935,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B37/OH43",0.854,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B73/MO17",0.933,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B73/PHM49",0.917,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B73/PHN82",0.909,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","CG119/CG108",0.966,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","CG44/CGR01",0.864,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","F42/H95",0.733,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","F42/MO17",0.833,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","F42/OH43",0.878,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","LH74/PHN82",1,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","PHG39/PHN82",0.733,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","PHW52/PHM49",0.941,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","PHW52/PHN82",0.818,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","2369/LH123HT",0.696,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B14A/H95",0.471,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B14A/MO17",0.733,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B14A/OH43",0.5,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B37/H95",0.684,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B37/MO17",0.581,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B37/OH43",0.561,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B73/MO17",0.533,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B73/PHM49",0.667,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","B73/PHN82",0.727,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","CG119/CG108",0.483,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","CG44/CGR01",0.591,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","F42/H95",0.467,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","F42/MO17",0.583,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","F42/OH43",0.634,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","LH74/PHN82",0.824,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","PHG39/PHN82",0.533,FALSE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","PHW52/PHM49",0.647,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","PHW52/PHN82",0.636,TRUE,"d__Bacteria; p__Actinobacteriota; c__Thermoleophilia"
"Class","2369/LH123HT",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B14A/H95",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B14A/MO17",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B14A/OH43",0.9,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B37/H95",0.947,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B37/MO17",0.968,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B37/OH43",0.976,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B73/MO17",0.933,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B73/PHM49",0.917,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","B73/PHN82",0.818,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","CG119/CG108",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","CG44/CGR01",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","F42/H95",0.8,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","F42/MO17",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","F42/OH43",0.976,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","LH74/PHN82",0.941,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","PHG39/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","PHW52/PHM49",0.882,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","PHW52/PHN82",1,TRUE,"d__Bacteria; p__Bacteroidota; c__Bacteroidia"
"Class","2369/LH123HT",0.652,TRUE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","B14A/H95",0.706,TRUE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","B14A/MO17",0.6,TRUE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","B14A/OH43",0.55,FALSE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","B37/H95",0.579,FALSE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","B37/MO17",0.516,FALSE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","B37/OH43",0.537,FALSE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","B73/MO17",0.733,TRUE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","B73/PHM49",0.75,TRUE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","B73/PHN82",0.909,TRUE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","CG119/CG108",0.552,FALSE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","CG44/CGR01",0.409,FALSE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","F42/H95",0.667,TRUE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","F42/MO17",0.5,FALSE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
"Class","F42/OH43",0.439,FALSE,"d__Bacteria; p__Chloroflexi; c__Anaerolineae"
