Feature ID	Domain 	Phylum	Class 	Order 	Family 	Genus	Species	Confidence
551f7b2e3da0e601bd677d3b385bd366	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas		0.825781782591023
c99f42810e2c0436c0d362b36a17da0e	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter		0.998869997980954
55d7a20710eb2e13813b9eb906d04a1a	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Sphingobacteriales	 f__Sphingobacteriaceae	 g__Pedobacter		0.99865752043513
151a619e34d00ba2ef54fb9fce40c8a8	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Enterobacteriaceae			0.889483577768631
6f43a8060f5b1a6cb315b9297dee0db2	d__Bacteria	 p__Proteobacteria	 c__Gammaproteobacteria	 o__Enterobacterales	 f__Erwiniaceae			0.829893350687208
11351c0dac8f8f54f7f00102a5c00885	d__Bacteria	 p__Bacteroidota	 c__Bacteroidia	 o__Cytophagales	 f__Hymenobacteraceae	 g__Hymenobacter		0.999999999981735
087a851a898cac6711ff61d3e9c21087	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas		0.819131901154179
523a552f4957f5fa62fa0f269c2ce97d	d__Bacteria	 p__Actinobacteriota	 c__Actinobacteria	 o__Frankiales	 f__Nakamurellaceae	 g__Nakamurella		0.9956929779915
bd146bd3448960b29e9abd2de99c364e	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Rickettsiales	 f__Mitochondria	 g__Mitochondria		0.999999999999996
345d9fa48a016fc2a43b80efdcb669a0	d__Bacteria	 p__Proteobacteria	 c__Alphaproteobacteria	 o__Sphingomonadales	 f__Sphingomonadaceae	 g__Sphingomonas		0.82214307738742
