"sampleID","location","rep_number","plot_number","Corrected_pedigree","Observed","Simpson","Shannon"
"IAH4-1-588","IAH4",1,588,"B37/OH43",43,0.968734222222222,3.57186924284429
"IAH4-1-663","IAH4",1,663,"PHW52/PHN82",32,0.952804444444444,3.22765883856795
"IAH4-1-716","IAH4",1,716,"B73/MO17",55,0.971848888888889,3.74264552580907
"IAH4-1-723","IAH4",1,723,"F42/OH43",30,0.938344,2.99922005913038
"IAH4-1-752","IAH4",1,752,"B37/MO17",45,0.959962666666667,3.48045108527896
"IAH4-1-755","IAH4",1,755,"F42/MO17",41,0.963387555555556,3.49149093644646
"IAH4-1-764","IAH4",1,764,"B37/H95",53,0.970016,3.68449772574706
"IAH4-1-787","IAH4",1,787,"2369/LH123HT",37,0.945771555555556,3.17379717446177
"IAH4-1-82","IAH4",1,82,"CG44/CGR01",45,0.9624,3.47313295467941
"IAH4-2-1016","IAH4",2,1016,"PHW52/PHM49",57,0.969971555555556,3.70968095862427
"IAH4-2-1032","IAH4",2,1032,"B14A/MO17",58,0.939481777777778,3.32752068564104
"IAH4-2-1044","IAH4",2,1044,"F42/OH43",102,0.986576,4.42505774114596
"IAH4-2-1061","IAH4",2,1061,"B73/PHN82",36,0.966815111111111,3.48614666593134
"IAH4-2-1067","IAH4",2,1067,"F42/H95",40,0.959752888888889,3.42245062185749
"IAH4-2-1068","IAH4",2,1068,"F42/MO17",65,0.975136,3.88412566760214
"IAH4-2-1082","IAH4",2,1082,"CG119/CG108",49,0.971671111111111,3.70156535571869
"IAH4-2-1088","IAH4",2,1088,"PHG39/PHN82",19,0.919026666666667,2.66452001940467
"IAH4-2-1153","IAH4",2,1153,"2369/LH123HT",55,0.977230222222222,3.88159831141091
"IAH4-2-1174","IAH4",2,1174,"B37/OH43",32,0.952152888888889,3.23684761102271
"IAH4-2-1187","IAH4",2,1187,"PHW52/PHN82",58,0.977006222222222,3.87735263576161
"IAH4-2-1218","IAH4",2,1218,"F42/MO17",45,0.964216,3.50471367529118
"IAH4-2-1220","IAH4",2,1220,"PHW52/PHN82",33,0.957438222222222,3.28842473741306
"IAH4-2-1290","IAH4",2,1290,"LH74/PHN82",32,0.952000888888889,3.22079117145391
"IAH4-2-1336","IAH4",2,1336,"F42/H95",44,0.950979555555556,3.33927816965457
"IAH4-2-1378","IAH4",2,1378,"CG119/CG108",41,0.969773333333333,3.58495957676883
"IAH4-2-1390","IAH4",2,1390,"CG44/CGR01",42,0.959094222222222,3.413574436659
"IAH4-2-1401","IAH4",2,1401,"F42/OH43",40,0.964913777777778,3.48869920939607
"IAH4-2-1405","IAH4",2,1405,"2369/LH123HT",36,0.956320888888889,3.28320735897091
"IAH4-2-1409","IAH4",2,1409,"B14A/OH43",32,0.958477333333333,3.29165848395601
"IAH4-2-1414","IAH4",2,1414,"B73/MO17",67,0.978889777777778,3.99519478026043
"IAH4-2-1444","IAH4",2,1444,"B14A/MO17",30,0.957350222222222,3.2479771640486
"IAH4-2-1460","IAH4",2,1460,"PHG39/PHN82",24,0.942141333333333,3.00552826015277
"IAH4-2-1494","IAH4",2,1494,"B73/PHM49",39,0.959078222222222,3.36988297564066
"IAH4-2-1498","IAH4",2,1498,"B37/OH43",40,0.957612444444444,3.39413820051882
"IAH4-2-1516","IAH4",2,1516,"B73/PHN82",29,0.960358222222222,3.29310551581385
"IAH4-2-1526","IAH4",2,1526,"PHW52/PHM49",59,0.970203555555556,3.7595313817767
"IAH4-2-1534","IAH4",2,1534,"B14A/H95",26,0.939518222222222,2.97906344936116
"IAH4-2-1536","IAH4",2,1536,"B37/H95",32,0.953784,3.2381626284035
"IAH4-2-1570","IAH4",2,1570,"B37/MO17",23,0.912713777777778,2.68405761249902
"IAH4-2-802","IAH4",2,802,"B14A/OH43",48,0.963115555555556,3.50598419514882
"IAH4-2-821","IAH4",2,821,"LH74/PHN82",15,0.886292444444444,2.41252242167482
"IAH4-2-848","IAH4",2,848,"B37/MO17",37,0.962362666666667,3.41939146694993
"IAH4-2-854","IAH4",2,854,"B73/PHM49",42,0.964923555555556,3.4912134290925
"IAH4-2-941","IAH4",2,941,"CG44/CGR01",54,0.975835555555556,3.83815678981954
"IAH4-2-942","IAH4",2,942,"B73/MO17",36,0.961682666666667,3.42370743554786
"INH1-1-102","INH1",1,102,"B73/PHN82",38,0.960447111111111,3.40802799715255
"INH1-1-127","INH1",1,127,"B73/PHM49",19,0.933482666666667,2.81650450145237
