SampleID	location	pedigree	rep_number	plot_number	Batch	Month	day	year
IAH2-2-777	IAH2	F42_OH43	2	777	3166	7	16	2019
IAH2-2-788	IAH2	B37_H95	2	788	3166	7	16	2019
IAH2-2-804	IAH2	2369_LH123HT	2	804	3166	7	16	2019
IAH2-2-843	IAH2	B73_MO17	2	843	3166	7	16	2019
IAH2-2-871	IAH2	B73_PHN82	2	871	3166	7	16	2019
IAH2-2-907	IAH2	B73_PHM49	2	907	3166	7	16	2019
IAH2-2-921	IAH2	LH74_PHN82	2	921	3166	7	16	2019
IAH4-1-102	IAH4	B73_PHN82	1	102	3167	8	7	2019
IAH4-1-108	IAH4	F42_H95	1	108	3167	8	7	2019
IAH4-1-125	IAH4	CG119_CG108	1	125	3167	8	7	2019
IAH4-1-16	IAH4	B37_MO17	1	16	3167	8	7	2019
IAH4-1-176	IAH4	B14A_OH43	1	176	3167	8	7	2019
IAH4-1-214	IAH4	PHW52_PHN82	1	214	3167	8	7	2019
IAH4-1-249	IAH4	B14A_H95	1	249	3167	8	7	2019
IAH4-1-260	IAH4	PHW52_PHM49	1	260	3167	8	7	2019
IAH4-1-281	IAH4	2369_LH123HT	1	281	3167	8	7	2019
IAH4-1-337	IAH4	B73_MO17	1	337	3167	8	7	2019
IAH4-1-353	IAH4	F42_OH43	1	353	3167	8	7	2019
IAH4-1-356	IAH4	F42_MO17	1	356	3167	8	7	2019
IAH4-1-366	IAH4	LH74_PHN82	1	366	3167	8	7	2019
IAH4-1-369	IAH4	B37_H95	1	369	3167	8	7	2019
IAH4-1-441	IAH4	B14A_H95	1	441	3167	8	7	2019
IAH4-1-448	IAH4	B73_PHN82	1	448	3167	8	7	2019
IAH4-1-459	IAH4	PHG39_PHN82	1	459	3167	8	7	2019
IAH4-1-462	IAH4	B73_PHM49	1	462	3167	8	7	2019
IAH4-1-465	IAH4	CG44_CGR01	1	465	3167	8	7	2019
IAH4-1-49	IAH4	B14A_MO17	1	49	3167	8	7	2019
IAH4-1-513	IAH4	PHW52_PHM49	1	513	3167	8	7	2019
IAH4-1-543	IAH4	B14A_MO17	1	543	3167	8	7	2019
IAH4-1-554	IAH4	F42_H95	1	554	3167	8	7	2019
IAH4-1-563	IAH4	CG119_CG108	1	563	3167	8	7	2019
IAH4-1-57	IAH4	PHG39_PHN82	1	57	3167	8	7	2019
IAH4-1-582	IAH4	B14A_OH43	1	582	3167	8	7	2019
IAH4-1-588	IAH4	B37_OH43	1	588	3167	8	7	2019
IAH4-1-65	IAH4	B73_PHM49	1	65	3167	8	7	2019
IAH4-1-663	IAH4	PHW52_PHN82	1	663	3167	8	7	2019
IAH4-1-672	IAH4	LH74_PHN82	1	672	3167	8	7	2019
IAH4-1-716	IAH4	B73_MO17	1	716	3167	8	7	2019
IAH4-1-723	IAH4	F42_OH43	1	723	3167	8	7	2019
IAH4-1-752	IAH4	B37_MO17	1	752	3167	8	7	2019
IAH4-1-755	IAH4	F42_MO17	1	755	3167	8	7	2019
IAH4-1-764	IAH4	B37_H95	1	764	3167	8	7	2019
IAH4-1-787	IAH4	2369_LH123HT	1	787	3167	8	7	2019
IAH4-1-82	IAH4	CG44_CGR01	1	82	3167	8	7	2019
IAH4-2-1016	IAH4	PHW52_PHM49	2	1016	3166	8	7	2019
IAH4-2-1023	IAH4	B14A_H95	2	1023	3166	8	7	2019
IAH4-2-1032	IAH4	B14A_MO17	2	1032	3166	8	7	2019
IAH4-2-1044	IAH4	F42_OH43	2	1044	3166	8	7	2019
IAH4-2-1061	IAH4	B73_PHN82	2	1061	3166	8	7	2019
IAH4-2-1067	IAH4	F42_H95	2	1067	3166	8	7	2019
IAH4-2-1068	IAH4	F42_MO17	2	1068	3166	8	7	2019
IAH4-2-1082	IAH4	CG119_CG108	2	1082	3166	8	7	2019
IAH4-2-1088	IAH4	PHG39_PHN82	2	1088	3166	8	7	2019
IAH4-2-1153	IAH4	2369_LH123HT	2	1153	3166	8	7	2019
IAH4-2-1174	IAH4	B37_OH43	2	1174	3166	8	7	2019
IAH4-2-1187	IAH4	PHW52_PHN82	2	1187	3166	8	7	2019
IAH4-2-1218	IAH4	F42_MO17	2	1218	3166	8	7	2019
IAH4-2-1220	IAH4	PHW52_PHN82	2	1220	3166	8	7	2019
IAH4-2-1290	IAH4	LH74_PHN82	2	1290	3166	8	7	2019
IAH4-2-1336	IAH4	F42_H95	2	1336	3166	8	7	2019
IAH4-2-1378	IAH4	CG119_CG108	2	1378	3166	8	7	2019
