"taxon_level","genotype","prevalence","is_core","taxon_name"
"Phylum","B73/PHN82",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","CG119/CG108",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","CG44/CGR01",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","F42/H95",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","F42/MO17",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","F42/OH43",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","LH74/PHN82",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","PHG39/PHN82",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","PHW52/PHM49",0.941,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","PHW52/PHN82",1,TRUE,"d__Bacteria; p__Proteobacteria"
"Phylum","2369/LH123HT",0.545,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B14A/H95",0.5,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B14A/MO17",0.6,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B14A/OH43",0.368,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B37/H95",0.582,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B37/MO17",0.4,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B37/OH43",0.575,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B73/MO17",0.538,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B73/PHM49",0.727,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","B73/PHN82",0.8,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","CG119/CG108",0.481,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","CG44/CGR01",0.727,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","F42/H95",0.417,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","F42/MO17",0.417,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","F42/OH43",0.475,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","LH74/PHN82",0.857,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","PHG39/PHN82",0.231,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","PHW52/PHM49",0.824,TRUE,"d__Bacteria; p__Verrucomicrobiota"
"Phylum","PHW52/PHN82",0.182,FALSE,"d__Bacteria; p__Verrucomicrobiota"
"Class","2369/LH123HT",0.318,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","B14A/H95",0.25,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","B14A/MO17",0.533,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","B14A/OH43",0.211,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","B37/H95",0.2,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","B37/MO17",0.267,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","B37/OH43",0.2,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","B73/MO17",0.308,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","B73/PHM49",0.545,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","B73/PHN82",0.6,TRUE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","CG119/CG108",0.333,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","CG44/CGR01",0.273,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","F42/H95",0.5,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","F42/MO17",0.167,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","F42/OH43",0.375,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","LH74/PHN82",0.5,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","PHG39/PHN82",0.462,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","PHW52/PHM49",0.471,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","PHW52/PHN82",0.364,FALSE,"d__Archaea; p__Crenarchaeota; c__Nitrososphaeria"
"Class","2369/LH123HT",0.636,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B14A/H95",0.812,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B14A/MO17",0.8,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B14A/OH43",0.632,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B37/H95",0.709,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B37/MO17",0.633,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B37/OH43",0.625,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B73/MO17",0.692,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B73/PHM49",0.545,FALSE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","B73/PHN82",0.9,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","CG119/CG108",0.704,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","CG44/CGR01",0.455,FALSE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","F42/H95",0.583,FALSE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","F42/MO17",0.417,FALSE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","F42/OH43",0.725,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","LH74/PHN82",0.714,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","PHG39/PHN82",0.615,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","PHW52/PHM49",0.824,TRUE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","PHW52/PHN82",0.364,FALSE,"d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria"
"Class","2369/LH123HT",0.909,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B14A/H95",0.875,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B14A/MO17",0.8,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B14A/OH43",0.842,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
"Class","B37/H95",0.945,TRUE,"d__Bacteria; p__Actinobacteriota; c__Actinobacteria"
