"level","taxon","term","SS","pval","herit"
"order","d__Bacteria;p__Actinobacteriota;c__Actinobacteria","Maize Genotype",183604.033005988,0.225014126629129,0.0601147134317039
"order","d__Bacteria;p__Actinobacteriota;c__Actinobacteria","GXE",696871.014786934,0.574450943691108,0.228166019378293
"order","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia","Environment",66831.5973158026,5.14721521063354e-08,0.149472908881917
"order","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia","Maize Genotype",21235.8727386348,0.463521641687135,0.0474953135698792
"order","d__Bacteria;p__Actinobacteriota;c__Thermoleophilia","GXE",108369.031975641,0.398984705790244,0.242373893378222
"order","d__Bacteria;p__Armatimonadota;c__Armatimonadia","Environment",21192.5486589151,2.5480171832772e-06,0.136927286510533
"order","d__Bacteria;p__Armatimonadota;c__Armatimonadia","Maize Genotype",5216.94222186246,0.88334605600643,0.0337072125594179
"order","d__Bacteria;p__Armatimonadota;c__Armatimonadia","GXE",30358.7901871577,0.94700420134632,0.196151337386284
"order","d__Bacteria;p__Bacteroidota;c__Bacteroidia","Environment",3009050.53983846,2.27420443114854e-27,0.355702777998071
"order","d__Bacteria;p__Bacteroidota;c__Bacteroidia","Maize Genotype",493821.405557156,0.0218285914212286,0.0583751065214818
"order","d__Bacteria;p__Bacteroidota;c__Bacteroidia","GXE",1758579.70275194,0.0483006927219955,0.207883409506797
"order","d__Bacteria;p__Chloroflexi;c__Anaerolineae","Environment",1122202.56705555,1.36291820641127e-34,0.399750852604328
"order","d__Bacteria;p__Chloroflexi;c__Anaerolineae","Maize Genotype",177842.995815186,0.00157581892761825,0.0633512088582753
"order","d__Bacteria;p__Chloroflexi;c__Anaerolineae","GXE",618516.850775302,0.00105637081123856,0.220327992205825
"order","d__Bacteria;p__Chloroflexi;c__Chloroflexia","Environment",62217.4679210601,4.66371879991537e-07,0.138104809367032
"order","d__Bacteria;p__Chloroflexi;c__Chloroflexia","Maize Genotype",23363.4310490385,0.400582116837387,0.0518600691895897
"order","d__Bacteria;p__Chloroflexi;c__Chloroflexia","GXE",103632.928539975,0.593634802734374,0.230035170481697
"order","d__Bacteria;p__Deinococcota;c__Deinococci","Environment",255815.091637256,1.77697380975224e-19,0.326456572031873
"order","d__Bacteria;p__Deinococcota;c__Deinococci","Maize Genotype",18380.2808760352,0.942097216327854,0.0234558620031765
"order","d__Bacteria;p__Deinococcota;c__Deinococci","GXE",108195.127576064,0.991034803476964,0.138072426583487
